the_domain,the_country,the_rank,Labels,content_text
bristol.ac.uk,United Kingdom,81,"media, alumni and faculty","Dr Alice Venn recently launched and led a new project that saw law students, working in partnership with the charity Legal Response International,...
Insights from current students, alumni and leading experts
Read latest posts and browse our archive by category.
How to become a barrister in the UK – top tips from legal Professor and Barrister Alan Bogg
University of Bristol academic and practising Barrister, Professor Alan Bogg has enjoyed an accomplished and impactful career specialising in labour...
How studying socio-legal studies at Bristol shaped my career in law and social justice
Recent law graduate, Japheth (Jeff) Monzon shares his reflections on his time studying the MSc in Socio-Legal Studies at Bristol, where he explored...
Studying Environmental Law at Bristol: Q&A with UN Climate Change Consultant and LLM grad Alexia Kaplan
UN Climate Change Consultant and law graduate, Alexia Kaplan (LLM 2025) shares her reflections on how the LLM Law, Environment, Sustainability and...
LLM at Bristol: what to expect and how it can shape your legal career
In house lawyer and Law School alumni, Femi Adeluola (LLM 2022) shares his journey from studying LLM Commercial Law to taking the SQE and...
How to qualify as a solicitor in China with a UK law degree
Trainee Solicitor and Law School alumna, Lei Yang (MA 2022) shares her journey from studying in the UK to working at a top law firm in Beijing...."
uwc.ac.za,South Africa,793,research materials,"prohibition?
Minimum Resale Price Maintenance In South Africa: Rule of reason or per se prohibition?
Date
2016
Authors
Journal Title
Journal ISSN
Volume Title
Publisher
University of the Western Cape
Abstract
The field of competition law has in an unprecedented way experienced an incredibly vast
geographical expansion within a short period of time and as such it is no longer the exclusive
feature of developed countries only. Competition law as a body of legal rules aims at
protecting the process of competition in the market. It deals with market imperfections with
the desire to restore competition conditions in the market economy. Whilst specific
competition law objectives may differ from jurisdiction to jurisdiction, it is settled between
competition law scholars that, the general goals of competition law are to promote efficiency,
adaptability and development of the economy together with the provision of consumer
welfare.
Description
Magister Legum - LLM (Mercantile and Labour Law)"
missouri.edu,United States,456,"administrative communications, events, policy","Faculty and staff: Help test Microsoft 365 Copilot
Published on
The MU Division of IT is conducting a pilot project to evaluate the use of Microsoft 365 Copilot. Underway through September 2025, the pilot project will help evaluate the AI tool before it’s considered for use more broadly across the university.
The pilot project is open to University of Missouri and UM System faculty and staff. Participants will be able to utilize the generative AI features within Microsoft 365 programs such as Word, Excel, PowerPoint, Outlook and more. A user license can be purchased for $360 using a departmental MoCode.
Data security and Copilot
AI-powered tools like Microsoft 365 Copilot have the potential to support and simplify everyday tasks. As these tools become more common, it’s important that we have guidelines in place to protect the security of private data that could unintentionally be compromised by AI services.
The data is protected within the Microsoft environment while using 365 Copilot. These tools utilize the data that we already have access to and do not use our data to teach any language models.
Note: Due to enhanced security requirements, Copilot is not approved for use at MU Health Care, the MU School of Medicine, the MU Sinclair School of Nursing and the MU College of Health Sciences. Individuals in these areas, as well as anyone who accesses protected health information, should refrain from using or purchasing Copilot while the software is under review.
How to join the pilot project
- Go to and log in to the DoIT Service Portal using your University ID and password.
- Select the “Request Services” tile.
- Select the “Software” tile.
- Select the “Other” tile and fill out the form, indicating Microsoft 365 Copilot as the software name. Note that your department MoCode is required for purchase ($360).
Once your license has been activated, it may take up to 24 hours to sync with Microsoft. You should begin seeing prompts for Copilot in your various Microsoft 365 applications. You may need to close and reopen these applications a few times before these changes take effect.
Resources to help you understand the features of Copilot"
ethz.ch,Switzerland,11,"syllabi, events, administrative communications","CAS ETH in Artificial Intelligence and Software Development
Applications for the Fall programme will be accepted from 1 – 31 May! Apply here.
If you have questions after reviewing the website, please contact the Programme Manager for a consultation.
The CAS AIS provides a targeted education in software, machine learning (ML) and artificial intelligence (AI) to managers without prior formal training in computer science in order to advance their career.
Organisations are changing rapidly to become more digital. At the centre of this transformation is the use of software and machine learning to generate novel business applications. Increasingly, these involve AI. Managers without any formal training in these areas are being asked to make critical resource allocation and operational decisions related to software and AI that can have significant impacts on corporate competitiveness. The risks and rewards of this decision making have never been higher. This is where the CAS in AI and Software Development comes in.
The aim of this programme is to improve the decision-making of managers by providing them with fundamental training in ML, AI and software development that is applicable across multiple industries and areas of the organisation.
Modules
Programming with Python – Dr. Lukas Fässler & Dr. Markus Dahinden
This Python course reinforces and extends basic programming concepts covered previously in the CAS in Data & Machine Learning and introduces several new topics. These include classes, objects, and a selection of important Python libraries, such as NumPy for matrix calculations as well as Pandas and Requests for data science and data visualisation. Participants will develop their Python programming skills over the entire CAS with online tutorials, programming exercises, and one-on-one support.
Software Engineering Fundamentals – Dr. Malte Schwerhoff & Dr. Hermann Lehner (Spring semester), Dr. Carlos & Dr. Marcel Lüthi (Autumn semester)
This course provides a comprehensive overview of the software development process, introducing participants to essential techniques for facilitating the delivery of high-quality software products. The knowledge and practical experience gained will help managers to improve communication with software development teams, ultimately leading to higher success rates.
We will examine the different stages of software development and lifecycle to better understand the challenges of managing software development projects, and the principles and processes used to address them. This will include topics such as requirements elicitation, modelling, design patterns, implementation decisions and trade-offs, testing, refactoring, and maintenance and enhancement of software products. A team project will give participants the opportunity to apply the techniques introduced and to experience common software development challenges first-hand: for example, difficulties in eliciting technically meaningful requirements, integrating change requests, and managing an evolving code base. In this course, we will reverse the roles: participants will take on the task of delivering high quality software under our supervision. In this way, participants will gain a deeper understanding of the challenges of software development.
Building ML/AI Applications – Dr. Carlos Cotrini Jimenez & Dr. Andreas Streich
This course provides fundamental training in areas of machine learning that are reshaping industries. We explain technical concepts in simple terms and no previous experience with ML is expected.
We will cover the following topics:
- Introduction to Machine Learning: Understand the essentials of ML and its core tools like decision trees, neural networks, and cross-validation.
- Deep Learning: Discover the transformative role of neural networks, with an emphasis on natural language processing. We study applications like machine translation and chatGPT.
- Applications: Learn how ML is revolutionizing sectors like finance, insurance, retail, and services.
- Challenges & Considerations: Recognize the potential pitfalls, threats, and ethical considerations in deploying ML.
- The Future of AI: Engage in discussions on the societal impacts and future prospects of AI.
Participants complete 3 modules over 14 weeks. Courses are generally conducted in either a block format or blended learning format to minimize time away from work. Classes are held at ETH Zentrum campus every other week for one full day (Friday) and one half-day (Saturday morning) and, thus, this CAS is well suited as a part-time study programme.
Workload is approximately 250 hours.
Study language is 100% English.
CAS AIS applicants must satisfy the following requirements:
- ETH recognised university degree at Master level or equivalent educational background
- Demonstrated managerial experience
At least 5 years of professional work experience, including some experience with allocation of corporate resources, e.g. line management, project management, etc. - Good knowledge of English
At least B2 level is recommended
Additional technical prerequisites are described below. MAS AID participants and applicants have priority over CAS only applicants.
Applications will be reviewed by the Admission Committee. The final decision is communicated by the School for Continuing Education.
The following technical skills are required for admission to the CAS AIS. Completion of the CAS in Data and Machine Learning satisfies these technical prerequisites.
Programming:
- Understand and explain using correct technical language the meaning of terms such as source code, bit sequence, ASCII characters, program console, scope of variables, runtime errors.
- Work with variables, data types, list comprehension, if/for/while, operators, user input, functions, parameters, return values, files, random numbers in Python.
- Understand the basics of SQL.
Machine Learning:
- Understand data acquisition, biases, and learning as generalisation.
- Program simple steps to prepare and visualise data.
- Explain over- and underfitting, supervised vs. unsupervised learning, regression, classification, clustering, dimensionality reduction, neural networks, limits of machine learning.
- Design training and testing methods in these contexts and realize them using standard algorithms from Python libraries.
Please apply online through the School for Continuing Education website. After submitting the application and uploading supporting documentation, you will be asked to pay the application fee.
Deadline: 30 November
For more information about the CAS AIS, please visit the programme webpage.
Contact
ETH Zurich
Department of Computer Science
Andreasstrasse 5
OAT Z 22.1
8092
Zurich
ETH Zurich
Rämistrasse 101
HG E 17-18.5
8902
Zurich"
unc.edu,United States,72,"media, events, alumni and faculty","Artificial Intelligence (AI) is transforming every industry, and the legal field is no exception. At UNC School of Law, students are diving headfirst into this AI-driven future. From the library to career services, AI tools are becoming just as essential as traditional legal resources. The goal? To enhance, not replace, the uniquely human skills that make great lawyers.
Last November, Carolina Law’s Dan K. Moore program became a hub for the legal community’s growing interest in AI. The virtual event, which focused on generative AI in business and transactional law, drew a staggering 265 attendees, making it clear legal professionals are eager to understand AI’s role in modern practice.
Among the featured experts was Clinical Associate Law Professor Nicole Downing, assistant director for public services at the Kathrine R. Everett Law Library. Downing is leading the charge in integrating AI into legal research instruction at Carolina Law.
“We’re introducing AI earlier in the semester and weaving it into our research process,” Downing explains. Her Advanced Legal Research program now includes generative AI as a specialized topic, utilizing tools like Lexis+ AI and Westlaw’s Practical Law AI, platforms chosen for their legal focus and reduced risk of inaccuracies.
However, Downing is quick to emphasize the importance of critical thinking alongside AI use. “We want to make sure our students are intelligent users of this technology,” she notes, addressing the challenge of balancing technological advancement with fundamental legal skills.
This balanced approach resonates with students like third-year law students Daniel Self and Ashwin “Ash” Thiruppathi. As editor-in-chief of the North Carolina Journal of Law and Technology, Self has found practical applications for AI. “I’ve used AI as a starting point for case law research during my summer work,” he shares.
Thiruppathi, an executive board member of the Carolina Intellectual Property Law Association (CIPLA), sees even broader potential. “AI could streamline document review and routine tasks typically assigned to junior associates,” he notes. “It might be especially useful in areas with recurring fact patterns, like landlord-tenant disputes.”
Both students, however, recognize AI’s current limitations. “The output often falls short of the standard needed for assignments,” Thiruppathi reflects, echoing Downing’s emphasis on human oversight.
Carolina Law’s Career Development Office (CDO) is also embracing AI’s potential in career preparation. Associate Dean for Careers and Professional Development Rob Birrenkott shares, “We’re developing guides to help students use AI effectively in various situations.” These resources assist with resumes, cover letters, and interview preparation.
Thiruppathi sees value in this approach, especially for job applications. “AI could be helpful when applying to multiple firms during on-campus interviews,” he notes. But both Thiruppathi and Birrenkott are quick to stress the importance of maintaining individuality, guiding students to use AI as a tool to enhance, not replace, their unique perspectives.
Looking ahead, Self and Thiruppathi express a mix of anticipation and caution about AI’s role in their future careers. “I’m curious to see how it will shape practice in the coming years,” Self shares. Thiruppathi adds, “I think we’ll see some innovative tools emerge as AI technology progresses.”
While classroom integration and career services are at the forefront of Carolina Law’s AI initiatives, the commitment and interest extend even further. The Dan K. Moore Program in November sparked a series of conversations about AI’s role in the legal world. Building on this momentum, the Wade H. Hargrove Media Law and Policy Colloquium in April 2024 explored “Media Law in the Age of Artificial Intelligence.”
Reef C. Ivey II Excellence Fund Term Professor of Law David Ardia, co-director of the UNC Center for Media Law and Policy, led a lively discussion on AI’s impact on copyright law, defamation, political communication, and journalism. These events have created a space where leading practitioners, scholars, and students can grapple with the complexities of AI in law.
As AI continues to reshape law practice, Carolina Law is ensuring its students are ready for what’s next. By providing opportunities for critical discussions and integrating AI into various aspects of legal education, the law school is committed to preparing graduates who can use these tools effectively while maintaining the essential skills and ethics that define great lawyers."
ncl.ac.uk,United Kingdom,172,"research materials, policy, administrative communications","A resource guide for discovering useful AI tools.
Before considering using any kind of AI tool to help you with your academic writing, read our guidance to help you work with Artificial Intelligence tools responsibly when planning and drafting your written work: AI and the writing process. If you have any questions about proofreading, please refer to our guide on Approaches to Proofreading Your Work.
GenAI tools like Gemini, ChatGPT, and Copilot (Newcastle University staff and students have licensed access to Copilot. Ensure you sign in with your University credentials, and you may need to select ""Switch to a work or school account"" in the profile menu) can help you plan and structure assignments by generating and exploring different angles for your topic, creating coherent structures and outlines, planning your schedule with suggested timelines, and providing initial research suggestions (which you should always check).
Use these tools wisely:
By following these tips, you can effectively use GenAI tools while maintaining academic integrity and privacy."
northwestern.edu,United States,28,"news, research materials","Northwestern researchers examine the potential harms to democracy
Will the lure of deepfakes prove irresistible to democratic governments? What questions should governments ask — and who in government should be asking them — when a deepfake is being considered?
Two Northwestern University professors coauthored a new report examining several hypothetical scenarios in which democratic governments might consider using deepfakes to advance their foreign policy objectives and the potential harms this use might pose to democracy.
A digitally altered video, photo or audio recording, deepfakes are typically used maliciously to spread disinformation and create confusion. A well-known example includes a fake video that surfaced in March 2022, in which a digitally altered version of Ukrainian president Volodymyr Zelensky tells his soldiers to lay down their arms.
“As AI has improved, deepfakes have gone from primitive to highly realistic, and they will only get harder to distinguish,” the authors write in the report. “This proliferation of AI provides an unparalleled opportunity for state actors to use deepfakes for national security purposes.”
The researchers posit that the lure of deepfakes will eventually become irresistible to democratic governments. “It will not be long before major democracies, including the United States, start or at least consider using deepfakes to achieve their ends, if they have not already done so,” they said.
According to the authors officials should consider several factors when considering the use of deepfakes:
the likely efficacy of the deepfake,
its audience,
the potential harms,
the legal implications,
the nature of the target,
the goal of the deepfake, and
the traceability of the deepfake back to the originating democratic government.
In general, the authors argue that deepfakes should not be used as they are likely to reduce the credibility of democratic governments. There may be rare circumstances, however, when the use of deepfakes deserves serious consideration. In these cases, the authors say, governments should develop a process for approving or rejecting deepfakes that ensures a wide variety of perspectives are brought to the table.
In June 2024, the Supreme Court overturned the doctrine of Chevron deference in Loper Bright Enterprises v. Raimondo. The doctrine, established in 1984 in Chevron U.S.A., Inc. v. Natural ...
On February 1, Northwestern Pritzker Law, in collaboration with the School of Communication, held “Generative AI+Entertainment: Opportunity, Ethics, and Law,” a collaborative conference that ...
The Task Force’s 20 judges, practitioners, and academics are charged with gathering knowledge and recommending how the Illinois Judicial Branch should regulate and use AI in the future."
dcu.ie,Ireland,426,media,"Using ChatGPT to tailor your CV for bespoke applications
You have heard about the importance of writing a bespoke CV for every application, but it can be a lot of work and so you’ve sent off the same CV to a ton of companies. GenAI can help and I will give you an example of how we can use ChatGPT to save you time and write better and more tailored applications.
Let’s start a simple code of conduct. “I will use Generative AI for good, I will not use it to cheat, plagiarise, for any unlawful activities, or unethical purposes.”
So how can ChatGPT help in your job search?
Tailoring your CV is absolutely critical for all of your applications. GenAI can save considerable time if you ask the right questions and provide clear context, limits, audience information, details, and specify what you want as an output. To be clear you are not asking ChatGPT to write your CV for you. That’s still your job.
The task is for ChatGPT to analyse the job spec for key skills and keywords that you can include in your application for each specific role you want to apply for. You want this information quickly and for it to pick up on what makes sense for you.
- Go into ChatGPT and start with personal context on who you are. “I am a __________ and applying for roles in ___________, I have experience in ____________ and am applying for the job of _____________ in _______________.” This helps because it will highlight the most important skills for the job, but also ones which you have, if you don’t provide context the list tends to get long and irrelevant.
- Be specific with what information you want and provide numerical limitations on what it gives you back. “Please summarise the top 5 technical skills and competencies required for this role.” You might choose to lower the number or ask it for company values or qualifications as well.
- You could also explain the audience and let it know that the CV will be assessed by an HR professional or a hiring manager.
- Ask it to identify 10 key words in the job spec that should be included in the CV or application form that will be screened by an HR professional.
- Copy and paste in the job spec with the title and the company summary if you have it.
ChatGPT will provide you with a nice summary of the skills required and a list of key words to include in your CV. I suggest completing a quick audit, do these seem like the right skills for the job? Is this a job where you have the skills and does it play to your strengths? If there’s a mismatch, reconsider.
Review your professional profile or summary where you include the key skills that you believe are your strengths and signpost the reader to experiences in your CV where you developed these skills. Rewrite your profile for every job you apply for.
The best CVs will look and feel authentic to you. Recruiters want to see effort and conscientiousness, so do hiring managers. Use AI to help you identify what’s important and audit where you’re not meeting expectations, but write the content yourself to incorporate great examples, impact statements, and signposting to get yourself an interview.
Author: Jennifer Kwan, Careers Consultant at DCU."
bristol.ac.uk,United Kingdom,81,news,"As it goes live, the multimillion Isambard-AI has appeared in the global power rankings for the fastest and is now officially the most sustainable supercomputer in the UK. It is second greenest in the world as it shoots into the top two of the Green500.
Scientists will soon be able to use the world-class equipment for research that has not been possible in the UK until now, with organisations such as the UK’s AI Safety Institute expected to be amongst the first to harness its capabilities for AI research from this month.
The new Bristol Isambard-AI facility will be used by a wide range of organisations from across the UK to utilise the power of AI, which is already propelling emerging technologies such as training large language models (LLMs), healthcare and robotics. The supercomputer will also play an essential role in critical areas such as AI safety, accelerating automated drug discovery and climate research.
With the latest technologies, including HPE Slingshot 11 interconnect and direct liquid cooling solutions with highly-integrated, heterogeneous CPU-GPU systems from NVIDIA, it is one of the most efficient supercomputers that has ever been built.
Bristol’s Isambard-AI phase one has also appeared at position 128 in the latest edition of the TOP500 list of high-performance computing (HPC) systems on Earth, as published at the ISC High Performance 2024 event in Hamburg, Germany.
University of Bristol’s Vice-Chancellor and President Professor Evelyn Welch said: “With Isambard-AI phase one turned on, and primed for action later this month, we welcome this huge step forward towards providing UK researchers with world-class AI and HPC resources, until now accessible by few.
“This will equip the UK with the means to drive the next wave of scientific breakthroughs and positions Bristol as a vital cog in global technological discovery that will improve people’s lives.”
Professor Judith Squires, Provost and Deputy Vice Chancellor, who joined a Government delegation to the Isambard-AI site, said: “The speed with which this project is being delivered is testament to the expertise and ambition of our hard-working HPC and AI teams here at the University.
“The arrival of Isambard-AI phase one, builds on Bristol’s reputation in AI research and training; home to two Centres for Doctoral Training in AI, as well as two new national AI research hubs, our state-of-the-art capabilities will enable us to push the boundaries of scientific research to make breakthroughs that will benefit everyone.""
Professor Simon McIntosh-Smith, Director of the Bristol Centre for Supercomputing at the University of Bristol, explained: “Assuming there are eight billion people on earth, and everyone performed one calculation per second, it would take 2.3 years for all eight billion people, working 24/7, 365-days a year, to do what Isambard-AI phase one could do in one second.
“That’s a pretty astounding performance, even though we can pack it into a relatively small space.
“Isambard-AI phase 1 signifies the start of the Isambard-AI service. When the remaining 5,280 GPUs arrive at the University’s National Composites Centre (NCC) later in the summer, it will increase the performance by a factor of 32.”
Following a £225m investment from the UK Government last autumn, with thanks to HPE modular data center technology; the Isambard-AI phase one with HPE Cray EX2500 supercomputer and168 NVIDIA GH200 Grace Hopper Superchips has been delivered in record time, signalling the speed at which AI is advancing and recognising the value of having a national AI Research Resource in place.
Minister for AI Viscount Camrose said: “With the launch of the first stage of University of Bristol’s supercomputer Isambard-AI, we're witnessing a groundbreaking moment for UK science, innovation, and technology. This world-class equipment will revolutionise research possibilities here in the UK, with our world-first AI Safety Institute among the organisations who are set to benefit by harnessing one of the most powerful computer systems on the planet to drive forward their vital research.
“Not only does Isambard-AI rank among the world's fastest supercomputers, but it also sets the standard for eco-conscious computing, leading the charge in efficiency and sustainability. From AI safety to healthcare and climate research, its capabilities are unparalleled, marking the UK out as a global leader in AI and responsible innovation.”
“It is exciting to see Isambard-AI entering the first stage of its journey to deliver Europe's largest AI system for open science and propel the UK as a global leader in AI,"" said Matt Harris, managing director for UK, Ireland, Middle East and Africa at HPE. ""With AI progressing at rapid pace, we are proud to have delivered the system in a record time, with just 3 months between concept design and the system going live. This unique supercomputer is the centrepiece of the UK Government's AI Research Resource and will enable organisations like the AI Safety Institute to train generative AI models at scale with research outcomes expected as soon as May this year."""
ethz.ch,Switzerland,11,media,"Zukunftsblog
The Zukunftsblog provides a forum for ETH experts to write about socially relevant research topics and sketch their ideas about the future. Blog posts reflect the personal opinions of their authors.
Childpage navigation
How to monitor a new ceasefire in Ukraine
Maps as instruments of power
Lorenz Hurni considers what constitutes maps and why they are also instruments of power – and reveals how the Swiss World Atlas deals with disputed names and unilateral name changes.
CTRL+ALT+RELAX – or how digital tools help combat work stress
Working in the digital age is increasingly stressful for many people. For Erika Meins, digital technologies and artificial intelligence are both the cause and part of the solution, as they can effectively help reduce stress.
How climate extremes fuel droughts and heavy rains
Global warming causes extreme temperatures – this is clear to most, but few realize that both droughts and heavy rains are symptomatic of a climate in crisis. Sonia Seneviratne explains the far-reaching impacts of climate extremes.
What location data reveals about you
Location data allows rich insights into private details about our lives: where we live and work, how we spend our free time and what is important to us, says Nina Wiedemann. This poses a considerable security risk – even if we have nothing to hide.
These three GenAI collaborations show the power of science diplomacy
Science diplomacy can transcend the geopolitical arena, building trust and bridging gaps between nations, emphasises Joël Mesot. And presents three partnerships in generative AI that highlight the power of cross-sector cooperation – for humanitarian and peacekeeping missions as well as trustworthy AI.
From weakest link to security factor
Verena Zimmermann is convinced that it is too simplistic to view people solely as a risk factor in cyber security. Rather, the special abilities of users should be utilised in a targeted way in order to increase cyber security.
Climate change alone does not cause mass migration
The road to Net Zero is rocky, but feasible
A sustainable transition to a climate-friendly and biodiversity-rich Switzerland is only possible if we tackle the energy transition, climate change mitigation and biodiversity loss together. This will not be easy, but it is worthwhile and ultimately indispensable, says Reto Knutti.
Biofabrication should be sustainable
While living matter can advance technology and render human activities more efficient and eco-friendly, the way in which we currently fabricate materials containing living cells is far from sustainable. Miriam Filippi calls us to rethink our biofabrication practices.
Don't miss a post
Sign up for our newsletterKontakt
ETH Zurich
Editorial team ZukunftsblogRämistrasse 101
8092 Zurich
Switzerland"
